race_id,hamilton,rosberg,vettel,raikkonen,bottas,massa,kvyat,ricciardo,perez,hulkenberg,grosjean,max_verstappen,nasr,maldonado,sainz,button,alonso,ericsson,merhi,rossi,stevens,kevin_magnussen
albert_park_2015,1681.8778325338064,1360.0461378783823,1366.659953910314,1035.0251855449726,1009.0139721230647,1452.513841515169,732.6767931319173,1259.1523736076808,1052.0868448023944,1202.0489019154534,848.0575581085035,959.8559855338921,1163.031882571099,775.7221591349568,1053.9442781450578,1161.8929018269203,,882.7317548641231,,,,904.7667967182972
sepang_2015,1681.598282858782,1427.5888262210033,1474.0173711025936,1219.5810402861766,1182.0376982101402,1403.27285514202,942.4492547715911,1188.473119774073,1019.2775587496195,1069.8796830476788,962.34711855727,1104.5821603379602,1088.4313745840898,791.9718450585364,1122.9388622601757,961.2064591218021,954.792032951394,776.8521943048855,951.4782569939787,,742.3290189503905,
shanghai_2015,1711.6962894436165,1494.7129461010354,1500.5583529567298,1316.8590419395682,1250.647210790598,1400.8781501499416,791.8226116809972,1182.0981265791438,1045.6935587214248,837.6998822364866,1117.4356961470726,920.2806909483694,1158.7934928936327,739.5384951174473,1049.4581815917213,945.0446385419574,994.9874903930048,945.5171463695386,871.8000461980548,,789.5829644838207,
bahrain_2015,1741.357696696935,1521.5271869709036,1473.955641505276,1426.045551145697,1336.6058719839077,1277.7271630688435,972.3959211051789,1249.4420059534593,1123.3753295969582,897.1504790257902,1183.16311666564,798.5476480116102,1087.3900115519932,786.6034318563501,843.3363357644942,769.2310690674067,1038.5638140096169,935.8320755047301,808.6272107701818,,794.2274530291895,
catalunya_2015,1740.0824637377318,1596.4033112136224,1511.9220743284793,1428.2096088491655,1395.2589764253594,1310.355955841225,1038.4031834407754,1267.0561267548687,1045.6032136314846,877.3845673484904,1205.3931571684282,915.3411130898907,1046.9570848025076,696.4972434757507,983.9287245312684,773.2652699654764,805.2793179036445,922.2387369178164,740.4927205906822,,765.0321632674929,
monaco_2015,1714.858495459109,1659.542072679677,1569.1728839750813,1405.9325532507576,1158.564504154758,1096.3941179943577,1222.6156735480406,1333.443128437114,1155.990108973132,954.3297660792105,1106.8791505291786,802.5104143617098,1104.4924637160025,618.8292293829998,1043.4977300576272,973.6857724071402,711.6302114843311,933.0641533945396,758.5396996697359,,741.1328837296592,
villeneuve_2015,1752.2361940355115,1680.0386255106444,1529.3250394480629,1443.574971163836,1307.0779670459515,1205.1145809870804,1198.675159100741,1157.1871685562078,1117.9353301377105,1074.3862744546518,1111.1378850716867,820.2841223654978,958.8628234851817,893.5527391877496,1023.292474327738,798.8329015566782,624.4993615076942,923.3156652618569,712.2627803069662,,733.512949772715,
red_bull_ring_2015,1755.4619201530525,1725.2320336759012,1527.6116838668322,1040.9269975470495,1361.5451943007236,1340.8153786437665,1114.288372376377,1142.451207357557,1143.888879037401,1197.052280371832,984.1203268988988,1000.7633001858941,1008.4189506440362,1062.8123827251222,907.0115345115595,762.3214604888577,567.3124350268972,943.3584170336409,787.810624775273,,691.9016336634899,
silverstone_2015,1787.4651940244325,1733.5360416713597,1553.2770913495347,1129.65062619155,1384.7461405479746,1395.5639542587123,1209.0272224276978,980.239687237767,1158.8835984364187,1232.383669671227,853.2251725375476,888.2803802544993,797.6074923167007,883.1322880075803,896.9543277578391,697.136146360346,810.0174262081669,1001.5318297749269,881.7639699739935,,790.6827542758879,
hungaroring_2015,1661.5863497191397,1560.386985199372,1631.262271580959,902.9673855633158,1181.459763392755,1213.8678811494767,1367.2963678947174,1204.6319807021564,908.0881055147323,930.0662984567269,1053.8083092108027,1137.2488177999094,919.7464468318339,903.018419912766,821.8223441354451,918.2999049324726,1059.0502761149191,1040.231981640472,865.1851452381811,,785.0799782940088,
spa_2015,1702.9862921666613,1596.5450401516896,1360.5301792913813,1078.5423356135486,1176.8447530502224,1260.347590528863,1403.7975423107318,948.1064972908795,1120.6907891903202,770.3287074306942,1241.8518836202425,1174.5901396783927,991.4107334864067,776.994226484282,781.757307492905,924.1962644287927,1021.8177118828007,1083.4200817289147,863.9341553804369,,786.4127820759963,
monza_2015,1733.7647517935638,1190.8977659861919,1459.7172553120329,1225.9903661207238,1297.0459710200241,1365.3300373270595,1271.6770025897301,1086.105105549439,1218.1951020628119,1003.66573013511,938.0824205075107,1097.823183047659,986.0450750917115,684.7225831364668,923.6155503855338,925.0460927598133,867.3172441812234,1131.8958822005773,834.8879902916474,,823.2799037853314,
marina_bay_2015,1246.2253035735328,1313.7170009489703,1544.6357106418511,1347.919692280632,1344.6913865673578,1012.8946573895822,1315.7743869109022,1296.2742205189134,1259.1022813014115,827.6359667744408,973.3417534652043,1178.7866623097384,1070.4494494333067,846.3687513926782,1056.511035944042,864.6146281238996,808.9784251511985,1108.9942396275903,,968.7221282992028,844.5793423380603,
suzuka_2015,1406.0250418106402,1421.187464169707,1543.9632564600006,1395.518636985559,1369.9023078368439,905.2207672931472,1146.6186024451922,1090.2425057250168,1149.586011762659,1079.8646093380607,1130.190402168941,1180.0172298060672,851.6842918850601,1040.024698669061,1092.9783167396863,852.5245602615383,938.2321367286561,1018.0651365436271,,857.8353737001703,760.5356726628821,
sochi_2015,1504.5889184818182,1061.3878210647188,1577.2095510269646,1320.3484823519157,1200.367737890744,1161.6407529448218,1262.0542935250248,978.9249996559854,1305.5289422081096,890.9638391810802,955.5167314747899,1160.7254854489645,1094.2228660800943,1157.8657083173018,957.9504044387471,1022.0095314296794,1010.4709957417433,834.8546025659699,913.310960215921,,837.327015539599,
americas_2015,1568.501704701006,1273.328548151501,1566.1516190470754,1048.6599050227871,944.9107995933667,973.7616743191303,1111.1312323646207,1063.3100442343193,1352.5665803052798,917.0461250761022,861.7914899874196,1302.4127544178987,1135.8098982771087,1190.9247224602204,1119.544539323892,1174.331656404575,1038.2280589195773,847.3508698093548,,931.9665817717998,730.0652488812059,
rodriguez_2015,1592.8203436834365,1415.4808750087727,1145.3109965522758,877.9967969846632,1211.3436247425234,1159.7300969694481,1263.603472957904,1214.6700011396613,1293.2276375572865,1099.56927290429,1000.324050354714,1233.5921205980517,934.291706163708,1137.4484264922794,1049.1842275626125,1048.6499634424931,843.2322254384277,952.9528417788865,,911.6751821494332,766.6901905873736,
interlagos_2015,1605.2503429472954,1502.7443727485509,1301.5934614609923,1140.2461615507514,1285.9617586813163,879.7238797490166,1271.3789778126597,1149.5865494167883,1166.6998533144763,1215.8615902589302,1119.7603998553247,1205.187939097219,970.210837685473,1132.241994997279,850.9823422085951,1003.7467678153795,870.0527011901071,898.7195988118648,,815.8961915817781,765.9483318844418,
yas_marina_2015,1619.5153935101098,1569.0639174445364,1370.216831306603,1297.9642475026264,1138.780016321085,1055.9374842615714,1206.4144776368244,1236.2255383026752,1265.6854896343864,1241.6949367669997,1147.6175965010743,1014.8444344200853,930.504759234925,871.671230846002,973.9719348792214,1024.2618128771205,830.8669378433899,921.7360079045742,792.215128149976,,740.0206463585974,
