race_id,hamilton,vettel,raikkonen,max_verstappen,bottas,ricciardo,hulkenberg,perez,kevin_magnussen,sainz,alonso,ocon,leclerc,grosjean,gasly,vandoorne,ericsson,stroll,brendon_hartley,sirotkin
albert_park_2018,1648.8077420038985,1615.3820131946056,1534.0830015977851,1448.5349757369852,1513.8178717529963,1127.6221253639974,1199.5282602115701,1199.2328303000636,865.6279911955622,989.7668284409335,1275.0470843028397,1100.3450077001378,997.1667240120486,923.7259008374324,830.8984211745505,1073.2970399460955,742.7114671846398,903.9564733483129,861.3154947061619,811.5880470112281
bahrain_2018,1645.4021707759314,1676.2172472568213,1123.543238261688,1063.9716336449771,1581.5573751802767,896.6071436636045,1285.7795771690028,1018.3044024427535,1126.622729037815,1045.7708939299118,1296.7337730258528,1121.5698223716004,1026.0622571744307,965.0125162065793,1126.4927782918742,1154.8670848007944,951.9963475328923,912.1220578224282,808.2860642435118,835.5361871890984
shanghai_2018,1607.9325553181156,1521.1763820435142,1294.6421898507415,1223.2714251141083,1609.8281955977095,1203.4222140417157,1311.091264329722,1045.2277338752533,1139.968521867239,1120.3838901836205,1290.071368459646,1110.668167862827,851.6728347873958,875.9518812754646,931.9088631590281,1093.9394140671245,903.2966726777559,943.5100234300011,715.1241556324918,869.3675464483699
baku_2018,1661.4143287566526,1518.0660662633218,1421.80723276238,1016.2278908150939,1279.5683869300683,1003.8222399322458,1040.710484576937,1274.6588038792274,1059.9878515593134,1271.7887687683835,1304.7251719455667,929.4200992351277,1106.5399539891705,887.1168185770412,979.9425999813376,1145.901351209037,991.5800008650343,1098.13186373824,912.1562883538895,758.8890978837759
catalunya_2018,1697.4835667541079,1511.589370100496,1099.3303917740745,1248.9049876362362,1407.365749634653,1198.6677783385257,845.0576665720713,1244.987880724302,1206.81130047294,1286.8358246328633,1278.3153817373961,878.5800177643318,1137.9686404543777,814.647333132245,840.6153636700834,1014.3222506834265,1004.3425952018003,1115.8082905833671,990.320222146018,840.5006880085278
monaco_2018,1670.565476171805,1557.9937363453273,1269.54881613591,1231.2321807373278,1415.9206556292004,1374.6288724348403,1036.288266264341,1144.5130005303872,1107.0371078557396,1219.9574693224408,951.8405259527304,1109.065354356654,944.4883893308005,867.6663144193653,1060.7414457396346,993.4460081511278,1055.0773756909025,954.9378368810816,845.3522899674003,852.154178104827
villeneuve_2018,1592.7931739765202,1621.2399543032132,1316.1781727672906,1354.5478063100984,1491.5485528528814,1413.5220956642243,1164.759879572111,1052.0101510960926,1055.774163311714,1238.8731215796092,851.3109001598413,1158.7269314176372,1047.0798052919765,951.8521937989119,1075.229824751227,919.9988508149324,980.4373382562443,790.159098946195,763.1709418258305,823.2423433252928
ricard_2018,1651.9203690746497,1563.93768050804,1416.0718875346492,1461.075000035421,1421.986594450471,1450.128684006009,1189.686425608129,885.4290427501262,1196.4313232142526,1250.9014929895511,829.1892028259738,917.6794279057065,1108.2643365602055,1030.0797147737508,854.5549952789623,990.073402574614,991.7731090007318,771.5355406112884,840.2498422076159,841.4872281116953
red_bull_ring_2018,1253.8228892401664,1585.8588288309593,1510.8203869189017,1563.0076186075994,1048.9136239812594,1092.680703259316,938.5982219471823,1099.73621959214,1310.3386334396307,1158.794085478701,1045.527954803305,1132.256766041762,1159.2242408836628,1233.8425936458843,970.0053928556114,928.5051696723147,1068.5580136918675,842.6217935077048,805.8245038638762,913.51765976
silverstone_2018,1392.933546813829,1636.2533486102118,1531.1945741695497,1233.9731757138563,1244.3201671569595,1242.5802487845156,1140.5725418580896,1128.0703296474333,1251.4378297071246,977.2625954868964,1148.6695512666108,1212.6783751663215,926.0951619453199,1039.9864647712723,995.7472014105103,1029.6679346572084,918.4527511304717,954.7092026172888,721.659613656395,936.1906854519798
